🎬4—k▪系列,#genre#

河南卫视4k超,http://218.29.135.2:4000/udp/225.1.4.254:1300
欢笑剧场4K超,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
4K超电影,http://60.255.49.202/live/emdy4k_8000.m3u8
4K测试,http://ott.js.chinamobile.com/TVOD/3/224/3221228113/index.m3u8 $4K
纯享4k,http://ott.js.chinamobile.com/TVOD/3/224/3221228242/index.m3u8 $4K
纯享4k,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8 $4K
4K修复,http://ott.js.chinamobile.com/TVOD/3/224/3221228141/index.m3u8 $4K
4K修复,http://ott.js.chinamobile.com/TVOD/3/224/3221228141/index.m3u8
4K花园,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8$8M1080HEVC
欢笑剧场4K,http://ott.js.chinamobile.com/TVOD/3/224/3221227715/index.m3u8
欢笑剧场4K,http://223.110.243.153/ott.js.chinamobile.com/PLTV/3/224/3221227715/index.m3u8 $4K
欢笑剧场4k,http://39.134.18.68/dbdsb.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
CCTV16,http://121.18.168.210/livetestcdn.cctv.cn/hls/CCTV16/playlist.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16/playlist.m3u8
CCTV16,http://ott.js.chinamobile.com/PLTV/3/224/3221228127/index.m3u8
4K体育 U,http://39.134.39.31/PLTV/88888888/224/3221226351/index.m3u8
北京dsb4K,http://39.134.134.85/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/index.m3u8?servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=3QGHZfaujB8rRCsAsCvwpxxlHr4QY7xmzJA0CWZ2m2oFrdR%2B0WqiDAHoOrKmOBjJo1DAVyGMxV75D0k9A8UW52%2FrO%2F0g1FiOsgmHLskIhGej57NNTIcVyR%2FC8%2FqFakBO3%2B2%2FLci77HWE%2FMDUdCEgEA%3D%3D%3A20211105223205%2C10000100000000050000000003887500%2CF6D75A298389DD1E7C3B7D397327CA23%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2CEND
爱上4k,http://39.134.18.82/dbdsb.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
4K剧场,http://117.148.179.161/PLTV/88888888/224/3221231624/index.m3u8
4K剧场 U,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227896/index.m3u8
4k 修复频道,http://ott.js.chinamobile.com/PLTV/3/224/3221228141/index.m3u8


🐥哔哩▪轮播,#genre#


郭德纲于谦：湛湛青天不可欺~,http://jiekou.gq/dsb/bili.php?id=896137
郭德纲于谦晚安相声音频24小时轮播,http://jiekou.gq/dsb/bili.php?id=5854051
德云相声24*7直播 - 全B站最高音质,http://jiekou.gq/dsb/bili.php?id=7035162
进来喝碗恩希玛,http://jiekou.gq/dsb/bili.php?id=21379687
【蜡笔小新】国语版！24小时播放哦！,http://jiekou.gq/dsb/bili.php?id=10375360
介里还能趟浪水~,http://jiekou.gq/dsb/bili.php?id=3963033
【周星驰】喜剧 动作 24H,http://jiekou.gq/dsb/bili.php?id=47917
【德云社】郭德纲于谦 传统相声映评馆专区,http://jiekou.gq/dsb/bili.php?id=308438
哔哩哔哩音悦台,http://jiekou.gq/dsb/bili.php?id=23058
还珠格格24H轮播【小辣条影院】,http://jiekou.gq/dsb/bili.php?id=21318393
【林正英】香港鬼片 僵尸 女鬼 24小时,http://jiekou.gq/dsb/bili.php?id=70155
超清下饭剧,http://jiekou.gq/dsb/bili.php?id=21354981
武林外传,http://jiekou.gq/dsb/bili.php?id=10452911
蜡笔小新,http://jiekou.gq/dsb/bili.php?id=21570935
高画质/恶作剧之吻1、2部 24h无限播,http://jiekou.gq/dsb/bili.php?id=21298611
【海爷 2号厅】科幻 巨兽 动作,http://jiekou.gq/dsb/bili.php?id=1929865
【邵氏影院】经典武侠 动作 老电影你懂的,http://jiekou.gq/dsb/bili.php?id=21759196
